9.7,9.73,9.32,0,0,0,0,0
9.52,9.27,8.77,,,,,
8.09,8.55,8,,,,,
9.57,9.45,9.31,,,,,
9.48,8.82,9.2,,,,,
9.26,8.91,8.04,,,,,
7.64,7.43,6.38,,,,,
9.18,8.96,8.31,,,,,
9.18,8.7,8.12,,,,,
9.55,10,8.8,,,,,
7.82,7.17,6.85,,,,,
8.64,8.96,8.28,,,,,
9.45,9.04,8.68,,,,,
8.26,8.82,7,,,,,
8.91,7.64,7.54,,,,,
7.57,8.82,7.96,,,,,
8.87,9,8.38,,,,,
8,8.45,7.23,,,,,
9.3,8.82,8.23,,,,,
7,6.13,6.44,,,,,
8.27,8.22,6.24,,,,,
9.27,9.57,8.56,,,,,
9.18,9.17,7.8,,,,,
8.55,9.43,7.88,,,,,
8.36,8.26,7.38,,,,,
9.61,9,8.44,,,,,
9.17,8.73,8.8,,,,,
9.7,9.27,9.48,,,,,
7.52,7.09,5.84,,,,,
7.09,7.82,6.64,,,,,
9.48,9.09,8.6,,,,,
9,9.09,9.64,,,,,
8.73,8.7,6.76,,,,,
8.18,8.13,6.76,,,,,
9,9.22,8.52,,,,,
9.27,9.57,8.62,,,,,
7.64,7.78,6.77,,,,,
7.73,8.83,7.31,,,,,
8.36,8.3,7.72,,,,,
8.39,8,7.23,,,,,
8.96,8.91,8.6,,,,,
9.57,8.73,8.46,,,,,
9.09,8.55,8,,,,,
9.43,9,9.28,,,,,
9.48,9.45,7.77,,,,,
8.52,8.27,8.69,,,,,
8.55,8.35,8,,,,,
9.55,9.7,8.85,,,,,
8.45,9,7.96,,,,,
8.64,8.78,6.6,,,,,
9.64,9.87,9.2,,,,,
9.18,9.65,8.12,,,,,
8.96,8,7.72,,,,,
9.83,9.45,8.96,,,,,
9.87,9.64,9.04,,,,,
9.64,9.91,8.56,,,,,
9.55,9.91,8.52,,,,,
9.74,9.73,9.2,,,,,
9.91,9.64,9.28,,,,,
9.73,9.83,9.64,10,10,,,
8.82,8.52,8.12,9.36,9.83,,,
9.61,9.18,8.54,9.05,9.17,,,
7.43,7.55,7.04,7.38,7.63,,,
9.35,8.18,8.08,9.18,9.38,,,
7.78,8,7.54,7.32,8.29,,,
9.35,9,8.52,9.55,9.7,,,
8.74,8.09,7.84,8.86,8.79,,,
7.26,7.18,6.16,5.76,6.04,,,
8.82,8.78,8.4,8.59,9.13,,,
8.09,8.22,6.84,7.9,7.63,,,
8.82,9.39,8.68,9.14,8.65,,,
8.36,7.04,7.76,8.45,9.04,,,
7.36,6.74,6.36,6.9,6.7,,,
7.82,7.91,6.85,7.86,8.71,,,
7.43,7.27,6.31,6.33,6.7,,,
9.13,8.73,7.62,8,8.21,,,
8.04,8.45,7,7.1,7.96,,,
8.83,8.27,8.8,9.23,8.26,,,
9.35,9.45,9.31,9.82,9.21,,,
7.61,8.27,6.38,6,6.13,,,
8.82,9.13,8.08,9,8.63,,,
7.82,8.26,7,6.52,6.87,,,
8.55,9.04,7.92,8.5,8.54,,,
6.91,6.55,6.69,7.76,7.9,,,
6.78,7.09,6.15,6.29,6.52,,,
8.91,8.73,8.54,8.77,9,,,
9.17,9.18,8.31,8.68,9,,,
7.83,7.91,7.38,6.95,8.08,,,
8.22,8.82,6.92,7.95,8.13,,,
8.83,8.18,7.96,8.95,9.33,,,
7.55,6.09,6.2,7.24,6.21,,,
9,9.26,8.23,9,9.04,,,
9.73,9.7,8.31,9.14,9.04,,,
9.64,9.39,9.04,9.29,9.64,,,
9.09,9.04,8.31,8.67,8.58,,,
9,9.39,8.88,8.76,9.43,,,
8.96,8.45,8.15,8.41,8.5,,,
9.13,9,7.92,8.73,9,,,
7.22,7.36,6.68,7.14,8.48,,,
8.7,8.36,8.4,9,8.63,,,
8.22,7.73,7.23,8,7.71,,,
8.43,8.18,7.08,7.33,7.71,,,
9.64,9.22,8.54,8.86,9.17,,,
9.36,9.7,8.77,9.14,9.21,,,
9.45,9.87,9.23,9.82,9.26,,,
10,9.36,8.85,9.62,9.38,,,
9.55,9.78,9,8.71,8.43,,,
9.83,9.82,9.08,9.81,9.35,,,
9.87,9.55,9.38,9.19,9.65,,,
9.73,9.87,9.52,10,9.71,,,
9.55,9.83,9.12,9.36,9.52,,,
9.52,9.82,8.54,9.64,9.52,,,
9.43,8.09,7.92,8.86,8.75,8.58,8.91,
8.17,8,7.46,8.1,7.88,8.04,7.78,
6.82,6.65,6.38,7,6.39,6.63,6.26,
9.45,9.74,7.92,9,8.7,8.81,8.96,
8.09,7.83,6.4,6.86,7.42,7.64,7.96,
8.82,9.35,8.24,9.1,9.26,8.38,9,
9.87,9.73,9.04,9.77,9.87,10,10,
8.04,8,6.92,6.77,7.13,7.88,8.48,
8.91,9.22,8.08,9.14,8.17,8.92,9.41,
